theta_id,scale,mass_min,mass_max,success,lo,hi,n,reach_failure,lifted,palm,contacts,hold,hash,wall_s,csv,time
11,3.0,,,0.8600,0.7786,0.9147,100,0.0400,0.9600,0.6000,3.440,436.8,de05c239e2de0855,52,results/bo/partB/probe_passes/probe_t11_s3.0.csv,18:04:56
12,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,3.870,500.0,3c434fc30ae8622d,42,results/bo/partB/probe_passes/probe_t12_s3.0.csv,18:05:42
13,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.060,500.0,74e8c3f3ff71040a,42,results/bo/partB/probe_passes/probe_t13_s3.0.csv,18:06:28
14,3.0,,,0.8700,0.7902,0.9224,100,0.0200,0.9600,0.6700,4.660,448.9,a48836e3d351458d,47,results/bo/partB/probe_passes/probe_t14_s3.0.csv,18:07:19
15,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9900,5.950,500.0,51c9622da5db93c8,42,results/bo/partB/probe_passes/probe_t15_s3.0.csv,18:08:05
16,3.0,,,0.9700,0.9155,0.9897,100,0.0000,1.0000,0.8600,6.680,497.7,9e8ffb4a9a99dce9,42,results/bo/partB/probe_passes/probe_t16_s3.0.csv,18:08:51
17,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9700,5.450,500.0,d421d54be665cb19,42,results/bo/partB/probe_passes/probe_t17_s3.0.csv,18:09:37
18,3.0,,,0.9900,0.9455,0.9982,100,0.0100,0.9900,0.9700,5.680,495.0,104ea9188f1ce0ec,47,results/bo/partB/probe_passes/probe_t18_s3.0.csv,18:10:28
19,3.0,,,0.9900,0.9455,0.9982,100,0.0000,1.0000,1.0000,6.010,497.9,c94742c3ac042e65,42,results/bo/partB/probe_passes/probe_t19_s3.0.csv,18:11:14
0,1.0,0.40,3.00,0.9400,0.8752,0.9722,100,0.0000,1.0000,0.9800,6.590,474.5,79d7f6151c90c3f2,42,results/bo/partB/probe_passes/probe_t00_s1.0_m0.4-3.0.csv,18:12:32
1,1.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.540,500.0,a3c2f5af15b09507,42,results/bo/partB/probe_passes/probe_t01_s1.0_m0.4-3.0.csv,18:13:18
2,1.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9500,6.140,500.0,d25929011b98dece,42,results/bo/partB/probe_passes/probe_t02_s1.0_m0.4-3.0.csv,18:14:04
3,1.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.060,500.0,cf12dd482e6eacd6,42,results/bo/partB/probe_passes/probe_t03_s1.0_m0.4-3.0.csv,18:14:50
4,1.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,8.000,500.0,618e3c0923c7172c,42,results/bo/partB/probe_passes/probe_t04_s1.0_m0.4-3.0.csv,18:15:36
5,1.0,0.40,3.00,0.7600,0.6677,0.8331,100,0.0700,0.9000,0.6800,3.500,393.7,9a0b9406e0445616,57,results/bo/partB/probe_passes/probe_t05_s1.0_m0.4-3.0.csv,18:16:37
6,1.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.120,500.0,cc6e6d7fa607e01c,42,results/bo/partB/probe_passes/probe_t06_s1.0_m0.4-3.0.csv,18:17:23
7,1.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9400,4.580,500.0,77a1ab402ba486b1,42,results/bo/partB/probe_passes/probe_t07_s1.0_m0.4-3.0.csv,18:18:09
8,1.0,0.40,3.00,0.9900,0.9455,0.9982,100,0.0000,1.0000,1.0000,4.810,496.1,fd204ce09c7e18ea,42,results/bo/partB/probe_passes/probe_t08_s1.0_m0.4-3.0.csv,18:18:55
9,1.0,0.40,3.00,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.040,500.0,c6fff55160b4853f,42,results/bo/partB/probe_passes/probe_t09_s1.0_m0.4-3.0.csv,18:19:41
