episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
58,6058,1,success,582,71,83,500,500,3,7.29,7,3,1,1,0,0.623,1.00,1.00,4.04,4.018,0.9155,0.10,0.200,1.00,0.00,0.916,0.954,0.867,0.980,0.809,0.968,2.376,0.691,1.114,13,11111110111111,0.982,10.0,189,72,404,404,0,sampled,0,43515,5,1
59,6059,1,success,616,112,117,500,500,3,19.54,4,2,1,1,0,1.437,1.00,1.00,2.61,3.411,0.8634,0.10,0.200,1.00,0.00,0.938,0.822,1.181,0.803,1.005,0.880,1.970,0.654,1.119,12,11101011111111,0.929,10.0,426,212,434,434,0,sampled,0,44097,7,1
60,6060,1,success,580,74,81,500,500,3,6.04,5,2,1,1,0,0.470,1.00,1.00,2.09,1.428,0.8808,0.10,0.200,1.00,0.00,1.002,1.030,1.026,1.132,0.917,0.903,1.314,0.670,1.023,11,11111011011110,1.012,10.0,160,25,321,321,0,sampled,0,44713,3,1
61,6061,1,success,574,67,75,500,500,3,10.46,3,2,1,1,0,1.089,1.00,1.00,3.15,2.323,0.8487,0.10,0.200,1.00,0.00,1.018,0.973,0.987,1.174,0.943,1.011,1.458,0.761,1.410,10,11001111110011,0.989,10.0,71,168,257,257,0,sampled,0,45293,3,1
62,6062,1,success,707,192,208,500,500,3,4.13,4,3,1,1,0,0.313,1.00,1.00,5.67,2.327,0.9016,0.10,0.200,1.00,0.00,0.999,1.122,1.038,0.842,1.163,0.831,1.935,0.648,1.190,12,10110111111111,1.048,10.0,369,417,242,417,0,sampled,0,45867,7,1
63,6063,1,success,601,89,102,500,500,3,8.71,5,2,1,1,0,0.727,1.00,1.00,3.27,4.043,0.9281,0.10,0.200,1.00,0.00,1.011,0.922,1.177,1.129,0.867,0.961,1.822,0.559,1.332,10,01011111010111,0.969,10.0,162,87,26,162,0,sampled,0,46574,4,1
64,6064,1,success,587,82,88,500,500,3,2.82,3,1,1,1,0,0.235,1.00,1.00,2.58,4.046,0.8600,0.10,0.200,1.00,0.00,0.934,0.831,0.917,0.927,0.962,1.035,1.848,0.754,1.205,11,11011111100111,0.933,10.0,178,411,470,470,0,sampled,0,47175,5,1
65,6065,1,success,706,194,207,500,500,3,7.23,3,1,1,1,0,0.541,1.00,1.00,4.37,1.803,0.7751,0.10,0.200,1.00,0.00,0.882,0.855,0.870,0.875,0.944,0.865,1.528,0.725,1.315,11,11101111001111,0.942,10.0,335,69,185,335,0,sampled,0,47762,2,1
66,6066,0,drop,150,120,135,15,500,0,0.00,0,0,0,0,0,1.199,1.00,1.00,4.62,0.123,0.4967,0.10,0.060,0.00,-0.20,1.056,1.087,1.067,1.091,0.978,1.057,1.257,0.647,1.283,10,11101101110101,1.034,10.0,113,191,200,-1,0,sampled,0,48468,8,1
67,6067,0,drop,438,133,135,303,500,1,4.86,3,2,1,1,1,0.393,1.00,1.00,1.79,1.019,0.9160,0.10,0.200,0.00,-0.20,0.977,1.042,1.003,0.862,1.074,0.901,0.816,0.593,1.261,12,10111111011111,1.017,10.0,480,301,344,301,1,sampled,0,48618,8,1
