arm,idx,phase,key,feasible,objective,pass_given_hold,success_rate,palm_contact_rate,mean_contacts,lenMean,lenThumb,active,mask,omegaActiveMean,zetaActiveMean,inertiaActiveMean,oracle_gate_step,oracle_max_contacts,oracle_push_mm,acq,ei,p_feasible,origin
bo,95,bo,f99e6d794189,True,1,1,1,0,6.9,0.9568,0.887,8,10011001110011,26.20,0.682,1.204,28,7,24.000001907348633,0.028657352395317085,0.03354742827480825,0.8542339567899675,global
bo,96,bo,7c1dd34cb1f0,True,0.9833333333333333,0.9833333333333333,1,0,7.55,0.9491,0.862,9,10111001110011,23.27,0.642,1.232,93,6,26.000001907348633,0.028139060918730082,0.03451251825572835,0.8153291136342853,global
bo,97,bo,a4f8c794ee3e,True,0.85,1,0.85,0,6.235294117647059,1.0025,0.800,7,10011001100011,23.57,0.753,1.212,99,6,20.000001907348633,0.02845583771076841,0.03984600153498949,0.7141453750580427,local
bo,98,bo,e7c76cd18b8e,True,0.8,0.8,1,0,6.75,1.1413,1.163,9,11011001011011,30.11,0.663,1.454,92,6,0.0,0.030216876215925816,0.03408330101542213,0.8865595560199165,global
bo,99,bo,0cd012c18175,False,None,None,None,None,None,1.0143,0.870,10,10111101001111,28.15,0.717,1.346,-1,5,16.0,0.03257936183685461,0.0414899483349065,0.7852350543768887,local
bo,100,bo,f15f0670e267,True,1,1,1,0,6.75,1.0136,0.834,10,10111101001111,27.84,0.709,1.359,128,6,17.0,0.027349244014567394,0.04106080709846939,0.6660668882854688,local
random,1,,a6c39c4736de,True,0.5833333333333334,0.5833333333333334,1,0,8.0,1.0188,0.964,12,11111111110011,24.87,0.619,1.100,30,7,12.000000953674316,None,None,None,
random,2,,36255094f99a,False,None,None,None,None,None,1.0115,1.177,11,11101101011111,27.76,0.581,1.367,-1,4,4.0,None,None,None,
random,3,,215e98e8889d,True,1,1,1,0,8.4,1.0157,1.005,10,11111100110011,26.13,0.619,1.234,130,7,11.000000953674316,None,None,None,
random,4,,9e6132c8955e,False,None,None,None,None,None,0.9368,1.112,12,11101111111110,27.10,0.707,1.269,-1,5,18.000001907348633,None,None,None,
random,5,,a97eaf0b2e8a,True,0.6,0.6,1,0,6.75,1.0035,0.873,11,01011110111111,23.80,0.559,1.328,90,6,17.0,None,None,None,
random,6,,2bac14833c07,True,0.75,0.75,1,0,8.25,0.9105,0.890,12,10111111101111,26.90,0.683,1.175,128,6,30.000003814697266,None,None,None,
random,7,,5788e45238af,True,1,1,1,0,7.8,1.0386,1.051,12,01111101111111,23.56,0.659,1.606,128,6,6.000000476837158,None,None,None,
random,8,,d53faeacc886,True,0.7833333333333333,0.7833333333333333,1,0,8.15,0.9970,1.040,12,11101111011111,26.82,0.645,1.225,88,7,12.000000953674316,None,None,None,
random,9,,0b46d2a00c99,True,0.8666666666666667,0.8666666666666667,1,0,8.05,1.0116,0.962,12,11111111110110,20.46,0.586,1.112,32,7,13.000000953674316,None,None,None,
random,10,,6b6331e673dd,False,None,None,None,None,None,0.9962,1.006,10,11101001111101,27.52,0.712,1.253,-1,3,38.9999885559082,None,None,None,
random,11,,3aaa97cab51d,True,0.95,0.95,1,0,6.75,1.0850,1.101,13,01111111111111,26.60,0.649,1.097,132,6,0.0,None,None,None,
random,12,,18d4f5f49431,True,0.9,0.9,1,0,8.3,1.0415,1.059,13,11111111110111,26.68,0.617,1.110,135,7,6.000000476837158,None,None,None,
random,13,,4461ee698cd9,False,None,None,None,None,None,0.8989,0.851,12,11110111111101,28.26,0.699,1.319,-1,5,53.99996566772461,None,None,None,
random,14,,2eab766078f3,False,None,None,None,None,None,0.9792,0.852,11,11101111101101,29.34,0.677,1.292,-1,4,42.99998474121094,None,None,None,
random,15,,b83da2420feb,False,None,None,None,None,None,0.9901,1.072,12,11111111101110,20.58,0.659,1.388,-1,5,12.000000953674316,None,None,None,
random,16,,3fe1122be5fa,True,0.75,0.75,1,0,7.5,1.0432,1.176,12,10111111111110,27.98,0.606,1.005,67,7,0.0,None,None,None,
random,17,,50a0e779b0c1,False,None,None,None,None,None,0.8849,0.942,12,01110111111111,27.35,0.692,1.278,-1,5,32.0,None,None,None,
random,18,,483895f30bfb,False,None,None,None,None,None,1.0627,1.029,11,01111101111101,27.01,0.605,1.057,-1,4,27.000001907348633,None,None,None,
random,19,,b506bdbd8177,False,None,None,None,None,None,0.8779,0.826,11,01100111111111,22.77,0.696,1.175,-1,4,36.99999237060547,None,None,None,
random,20,,df260766d2c3,False,None,None,None,None,None,1.0253,1.033,9,01101111101001,22.83,0.713,1.089,-1,4,33.0,None,None,None,
random,21,,d1f5b49d7d29,True,0.7666666666666667,0.7666666666666667,1,0,8.65,1.0158,1.177,14,11111111111111,24.37,0.659,1.067,129,7,3.0,None,None,None,
random,22,,7e0ce53322cf,False,None,None,None,None,None,1.0459,0.848,9,11101001110101,24.53,0.687,1.419,-1,4,33.0,None,None,None,
random,23,,5f32f0c557d1,False,None,None,None,None,None,0.9669,0.890,11,00111111101111,28.32,0.695,1.336,-1,5,22.000001907348633,None,None,None,
random,24,,98151e73fe7a,True,0.5666666666666667,0.5666666666666667,1,0,6.65,1.0176,0.999,12,11101111111110,24.54,0.616,1.200,137,7,11.000000953674316,None,None,None,
random,25,,176b50cb9010,True,0.7666666666666666,0.7666666666666666,1,0,7.05,1.0594,1.126,11,10111111100111,29.06,0.656,1.269,135,6,0.0,None,None,None,
random,26,,858a883c70f9,True,0.9,0.9,1,0,9.05,0.8804,0.828,13,10111111111111,27.16,0.589,1.244,69,6,35.999996185302734,None,None,None,
random,27,,27c3daffe287,True,1,1,1,0,7.75,1.0172,0.914,12,11111001111111,28.00,0.589,1.151,147,6,14.000000953674316,None,None,None,
random,28,,b5eea10b2539,True,0.5333333333333333,0.5333333333333333,1,0,6.3,1.0325,0.991,10,10011011111110,31.95,0.740,1.167,138,6,10.000000953674316,None,None,None,
random,29,,ce275c0ad6d4,True,0.85,0.85,1,0,8.3,1.1043,1.108,14,11111111111111,29.70,0.632,1.286,140,7,0.0,None,None,None,
random,30,,a0664668cf01,True,1,1,1,0,7.4,1.1122,1.103,11,11101011111101,23.28,0.594,1.158,134,7,19.000001907348633,None,None,None,
random,31,,a4228a9d4e59,True,0.6,0.6,1,0,7.95,0.9511,0.876,13,11011111111111,29.27,0.706,1.179,67,7,26.000001907348633,None,None,None,
random,32,,1d8825aee02d,True,0.65,0.65,1,0,8.25,0.8823,0.853,12,11011110111111,25.78,0.681,1.271,32,7,34.999996185302734,None,None,None,
random,33,,f13cd89d47b5,True,0.7,0.7,1,0,7.75,1.0125,1.166,12,11111111110110,28.21,0.694,1.368,30,7,5.000000476837158,None,None,None,
random,34,,f27c2ebddbac,False,None,None,None,None,None,0.9909,1.193,11,00111111111101,23.42,0.620,1.326,-1,4,33.0,None,None,None,
random,35,,412534e33b14,False,None,None,None,None,None,0.9005,0.807,13,11111111111101,26.70,0.629,1.310,-1,5,54.999961853027344,None,None,None,
random,36,,8ed1b01fc68e,False,None,None,None,None,None,1.0368,1.104,9,01101111100110,28.81,0.707,1.294,-1,5,4.0,None,None,None,
random,37,,ea9b6511de34,False,None,None,None,None,None,0.9515,0.909,11,11011111110101,26.18,0.596,1.384,-1,5,45.999977111816406,None,None,None,
