episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode
49,6049,1,success,608,88,109,500,500,3,11.09,4,1,1,1,0,0.763,1.00,1.00,3.38,4.292,0.9251,0.10,0.200,1.00,0.00,1.013,1.049,0.878,1.141,0.928,1.067,2.502,0.648,1.410,11,10111101111011,1.020,10.0,399,372,62,399,0,deterministic
50,6050,1,success,602,89,103,500,500,3,3.56,5,2,1,1,0,0.281,1.00,1.00,3.93,1.533,0.9054,0.10,0.200,1.00,0.00,1.029,1.155,0.804,1.069,1.042,1.073,1.341,0.647,1.333,11,11111100011111,1.062,10.0,280,414,342,414,0,deterministic
51,6051,1,success,577,73,78,500,500,3,3.38,6,2,1,1,0,0.260,1.00,1.00,4.63,2.057,0.8881,0.10,0.200,1.00,0.00,0.960,1.146,0.926,0.972,0.929,0.827,1.923,0.716,1.170,10,11111011001110,1.058,10.0,162,430,305,430,0,deterministic
52,6052,1,success,582,77,83,500,500,3,8.94,4,2,1,1,0,0.649,1.00,1.00,1.40,1.004,0.8243,0.10,0.200,1.00,0.00,0.911,0.940,0.918,1.059,0.807,0.830,1.090,0.595,1.233,11,11101011101111,0.976,10.0,6,490,124,490,0,deterministic
53,6053,1,success,592,81,93,500,500,3,17.15,6,3,1,1,0,1.226,1.00,1.00,1.93,1.548,0.7732,0.10,0.200,1.00,0.00,0.968,0.951,0.811,1.120,1.086,0.871,1.199,0.613,1.229,11,11011011111011,0.981,10.0,127,36,326,326,0,deterministic
54,6054,1,success,575,72,76,500,500,3,13.92,6,3,1,1,0,1.043,1.00,1.00,2.50,1.537,0.8573,0.10,0.200,1.00,0.00,0.972,1.074,0.925,1.162,0.895,0.804,1.438,0.710,1.157,12,01111111101111,1.029,10.0,210,41,493,493,0,deterministic
55,6055,1,success,586,77,87,500,500,3,14.90,6,3,1,1,0,1.144,1.00,1.00,5.07,2.533,0.9286,0.10,0.200,1.00,0.00,0.943,1.123,0.801,0.978,0.968,0.847,1.795,0.527,1.120,14,11111111111111,1.049,10.0,232,302,344,344,0,deterministic
56,6056,1,success,569,59,70,500,500,3,12.98,4,2,1,1,0,0.941,1.00,1.00,2.90,2.998,0.8755,0.10,0.200,1.00,0.00,1.021,0.978,0.988,1.049,1.082,1.006,1.531,0.704,1.018,12,11110111101111,0.991,10.0,261,284,336,336,0,deterministic
57,6057,1,success,580,70,81,500,500,3,10.60,5,2,1,1,0,0.788,1.00,1.00,2.91,1.463,0.9156,0.10,0.200,1.00,0.00,1.051,1.109,1.166,0.968,1.052,0.961,1.671,0.599,1.370,11,11011111010111,1.043,10.0,332,32,240,332,0,deterministic
58,6058,1,success,597,89,98,500,500,3,16.12,5,2,1,1,0,1.119,1.00,1.00,1.47,0.960,0.9039,0.10,0.200,1.00,0.00,0.988,0.904,1.175,1.090,0.850,0.921,1.150,0.666,1.265,10,01101101011111,0.962,10.0,201,352,196,352,0,deterministic
59,6059,1,success,572,67,73,500,500,3,3.44,5,3,1,1,0,0.238,1.00,1.00,3.25,2.176,0.8716,0.10,0.200,1.00,0.00,0.997,1.140,1.143,1.057,0.814,0.830,1.559,0.665,1.260,11,11111011101110,1.056,10.0,477,368,353,477,0,deterministic
60,6060,1,success,589,79,90,500,500,3,11.12,6,3,1,1,0,0.846,1.00,1.00,2.76,1.987,0.9027,0.10,0.200,1.00,0.00,0.961,0.824,0.951,0.996,1.103,0.929,1.286,0.750,1.371,9,00111100011111,0.930,10.0,482,2,199,482,0,deterministic
61,6061,1,success,624,111,125,500,500,3,3.10,5,2,1,0,0,0.232,1.00,1.00,3.57,0.738,0.8935,0.10,0.200,1.00,0.00,1.051,1.038,1.148,0.836,1.074,1.158,2.190,0.549,1.336,6,00100110000111,1.015,10.0,434,223,458,458,0,deterministic
62,6062,1,success,576,69,77,500,500,3,6.88,6,2,1,1,0,0.505,1.00,1.00,4.67,4.631,0.8585,0.10,0.200,1.00,0.00,1.046,1.032,1.025,0.971,1.140,1.060,1.903,0.623,1.228,12,11111110111011,1.013,10.0,231,7,360,360,0,deterministic
63,6063,1,success,591,85,92,500,500,3,7.80,6,2,1,1,0,0.545,1.00,1.00,1.57,1.741,0.8865,0.10,0.200,1.00,0.00,1.037,1.190,1.009,0.924,0.881,1.179,1.205,0.708,1.276,12,10111011111111,1.075,10.0,140,108,365,365,0,deterministic
64,6064,1,success,597,93,98,500,500,3,10.32,6,2,1,1,0,0.719,1.00,1.00,3.54,2.786,0.8874,0.10,0.200,1.00,0.00,1.051,1.172,0.865,0.908,1.183,1.125,1.776,0.766,1.147,11,11101111110110,1.068,10.0,112,102,330,330,0,deterministic
65,6065,1,success,594,84,95,500,500,3,19.70,5,4,1,1,0,1.425,1.00,1.00,2.62,1.735,0.8566,0.10,0.200,1.00,0.00,1.044,0.926,1.070,1.148,1.011,1.066,1.433,0.700,1.341,9,11010010111110,0.971,10.0,217,461,17,461,0,deterministic
66,6066,1,success,588,75,89,500,500,3,9.04,8,3,1,1,0,0.878,1.00,1.00,3.51,5.363,0.6565,0.10,0.200,1.00,0.00,1.036,1.093,1.042,1.148,1.007,0.893,1.804,0.633,1.228,10,10110111100111,1.037,10.0,343,264,416,416,0,deterministic
67,6067,1,success,601,93,102,500,500,3,15.25,7,2,1,1,1,1.080,1.00,1.00,2.16,1.840,0.8911,0.10,0.200,1.00,0.00,0.950,0.979,0.988,0.826,1.055,0.902,1.486,0.611,1.241,8,11110100100011,0.992,10.0,387,112,1,387,0,deterministic
68,6068,1,success,590,82,91,500,500,3,10.32,6,3,1,1,0,0.727,1.00,1.00,2.22,1.222,0.9283,0.10,0.200,1.00,0.00,0.946,1.080,1.019,0.872,0.893,0.868,1.186,0.672,1.328,10,01111110001111,1.032,10.0,279,445,208,445,0,deterministic
69,6069,1,success,570,65,71,500,500,3,3.11,4,2,1,1,0,0.256,1.00,1.00,2.12,4.067,0.8865,0.10,0.200,1.00,0.00,0.910,0.856,0.810,0.888,0.800,1.195,1.594,0.614,1.276,11,11011101110111,0.943,10.0,414,398,68,414,0,deterministic
70,6070,1,success,591,82,92,500,500,3,19.29,4,2,1,1,0,1.453,1.00,1.00,2.62,1.178,0.8879,0.10,0.200,1.00,0.00,0.973,1.150,0.906,0.815,1.031,0.962,0.979,0.751,1.212,6,00101011010010,1.059,10.0,344,453,427,453,0,deterministic
71,6071,1,success,636,125,137,500,500,3,8.46,6,3,1,1,0,0.664,1.00,1.00,6.66,3.884,0.9157,0.10,0.200,1.00,0.00,1.028,0.921,1.031,1.155,0.860,1.176,2.462,0.695,1.297,11,01110110111111,0.969,10.0,255,365,325,365,0,deterministic
72,6072,1,success,578,70,79,500,500,3,9.13,8,4,1,1,1,0.810,1.00,1.00,1.90,1.177,0.8167,0.10,0.200,1.00,0.00,0.969,0.844,1.186,0.996,0.996,0.822,1.410,0.605,1.107,14,11111111111111,0.938,10.0,350,486,94,486,0,deterministic
73,6073,1,success,575,63,76,500,500,3,3.72,7,3,1,1,0,0.279,1.00,1.00,3.19,1.783,0.8788,0.10,0.200,1.00,0.00,1.006,0.846,0.886,1.160,0.998,1.141,1.849,0.674,1.118,14,11111111111111,0.939,10.0,213,56,16,213,0,deterministic
74,6074,1,success,595,87,96,500,500,3,4.70,7,3,1,1,0,0.371,1.00,1.00,3.09,2.313,0.9141,0.10,0.200,1.00,0.00,1.106,1.061,1.152,1.145,1.146,1.028,1.359,0.567,1.254,12,11111010111111,1.024,10.0,164,66,98,164,0,deterministic
75,6075,1,success,565,59,66,500,500,3,12.86,6,3,1,1,0,1.161,1.00,1.00,2.96,1.309,0.9089,0.10,0.200,1.00,0.00,0.976,1.080,0.910,1.036,0.892,0.961,1.566,0.697,1.316,14,11111111111111,1.032,10.0,456,136,248,456,0,deterministic
76,6076,1,success,572,59,73,500,500,3,3.82,6,4,1,1,0,0.280,1.00,1.00,2.98,3.031,0.8897,0.10,0.200,1.00,0.00,0.965,0.877,1.162,1.026,0.933,0.826,1.687,0.662,1.273,13,11111110111111,0.951,10.0,381,388,482,482,0,deterministic
77,6077,1,success,583,74,84,500,500,3,5.71,4,1,1,1,0,0.404,1.00,1.00,3.78,1.508,0.6981,0.10,0.200,1.00,0.00,1.013,1.135,0.905,1.028,1.035,0.964,1.030,0.731,1.124,8,00110001101111,1.054,10.0,89,213,339,339,0,deterministic
78,6078,1,success,612,105,113,500,500,3,2.85,4,2,1,1,0,0.222,1.00,1.00,4.01,1.536,0.9318,0.10,0.200,1.00,0.00,1.000,1.134,1.045,1.077,0.863,0.884,1.896,0.584,1.082,12,11110111101111,1.053,10.0,348,66,453,453,0,deterministic
79,6079,1,success,573,69,74,500,500,3,3.63,7,2,1,1,0,0.306,1.00,1.00,4.91,1.681,0.8758,0.10,0.200,1.00,0.00,1.053,1.167,0.860,1.144,1.073,1.021,1.421,0.624,1.249,12,11111111011110,1.066,10.0,486,134,70,486,0,deterministic
80,6080,1,success,599,94,100,500,500,3,10.92,5,4,1,1,0,0.764,1.00,1.00,3.04,1.227,0.9368,0.10,0.200,1.00,0.00,1.009,1.112,0.975,0.834,1.002,1.121,0.729,0.616,1.308,11,10011111111011,1.044,10.0,379,442,352,442,0,deterministic
81,6081,1,success,591,84,92,500,500,3,14.59,9,3,1,1,0,1.088,1.00,1.00,2.07,1.646,0.9095,0.10,0.200,1.00,0.00,1.000,0.890,1.132,1.048,1.054,0.875,1.576,0.704,1.163,13,11111111011111,0.956,10.0,362,172,310,362,0,deterministic
82,6082,1,success,595,78,96,500,500,3,15.91,5,2,1,1,0,1.116,1.00,1.00,5.02,4.975,0.8561,0.10,0.200,1.00,0.00,0.910,0.965,0.909,0.930,0.931,0.818,2.105,0.670,1.216,11,11100111101111,0.986,10.0,195,326,336,336,0,deterministic
83,6083,1,success,616,108,117,500,500,3,11.61,3,1,1,1,0,0.866,1.00,1.00,2.93,0.474,0.8017,0.10,0.200,1.00,0.00,1.059,0.959,1.136,1.124,1.192,0.884,1.216,0.679,1.278,11,11101101111101,0.984,10.0,172,369,119,369,0,deterministic
84,6084,1,success,590,84,91,500,500,3,12.56,7,3,1,1,0,0.907,1.00,1.00,4.74,3.787,0.9319,0.10,0.200,1.00,0.00,1.024,1.028,0.919,1.009,1.021,1.144,1.714,0.693,1.329,9,01111010011011,1.011,10.0,485,419,4,485,0,deterministic
85,6085,1,success,606,95,107,500,500,3,9.57,5,3,1,1,0,0.679,1.00,1.00,2.09,0.486,0.8905,0.10,0.200,1.00,0.00,1.027,0.883,1.121,1.106,1.003,1.021,1.891,0.645,1.116,11,10111110111101,0.954,10.0,102,403,82,403,0,deterministic
86,6086,1,success,581,75,82,500,500,3,3.39,7,3,1,1,0,0.236,1.00,1.00,2.37,1.387,0.8999,0.10,0.200,1.00,0.00,1.043,1.081,1.042,0.903,1.139,1.048,1.110,0.629,1.403,13,01111111111111,1.032,10.0,162,263,328,328,0,deterministic
87,6087,1,success,596,89,97,500,500,3,3.14,6,2,1,1,0,0.243,1.00,1.00,3.66,1.666,0.9191,0.10,0.200,1.00,0.00,1.055,1.018,0.944,0.963,1.196,1.153,1.266,0.709,1.271,10,11110101011011,1.007,10.0,298,362,149,362,0,deterministic
88,6088,1,success,586,79,87,500,500,3,4.83,4,3,1,1,0,0.373,1.00,1.00,4.30,0.472,0.9145,0.10,0.200,1.00,0.00,0.970,0.824,1.014,0.971,1.160,0.883,1.964,0.613,1.352,13,11111111111101,0.930,10.0,444,290,41,444,0,deterministic
89,6089,1,success,585,80,86,500,500,3,4.15,6,3,1,1,0,0.299,1.00,1.00,1.78,1.058,0.8450,0.10,0.200,1.00,0.00,0.965,0.863,1.045,1.192,0.922,0.804,1.286,0.711,1.478,10,10101111101110,0.946,10.0,443,460,131,460,0,deterministic
90,6090,1,success,574,67,75,500,500,3,4.03,4,2,1,1,0,0.317,1.00,1.00,2.84,1.461,0.9046,0.10,0.200,1.00,0.00,1.061,1.169,1.178,1.031,1.022,0.906,1.132,0.672,1.059,12,11011011111111,1.067,10.0,156,131,200,200,0,deterministic
